recipe_id,recipe_name,url,ingredients_dict,preparation_time,cooking_time
20,Kanda Bateta Tameta nu Shaak / Gujarati Rasse Waale Aloo,https://www.youtube.com/watch?v=uMLX6Dt1whk,"{'POTATO': 4, 'TOMATO': 2, 'ONION': 1, 'GROUNDNUT OIL': '2-3 TBSP', 'MUSTARD SEEDS': '1/2 TSP', 'CUMIN SEEDS': 'A PINCH', 'ASAFOETIDA': '1/4 TSP', 'GINGER GARLIC GREEN CHILLI PASTE': '1 TBSP', 'SALT': 'TO TASTE', 'TURMERIC POWDER': '1/4 TSP', 'SPICY RED CHILLI POWDER': '1 TSP', 'CORIANDER POWDER': '1 TSP', 'CUMIN POWDER': '1/2 TSP', 'WATER': 'AS REQUIRED', 'SUGAR': 'A PINCH', 'GARAM MASALA': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL'}",10.0,15.0
21,Raw Mango Rasam,https://www.youtube.com/watch?v=WsVIpfe8eDY,"{'RAW MANGO': 1, 'GREEN CHILLI': 3, 'WATER': 'AS REQUIRED', 'GROUNDNUT OIL': 1, 'MUSTARD SEEDS': 1, 'CUMIN SEEDS': 1, 'RED CHILLI': 3, 'CURRY LEAVES': '8-10', 'ASAFOETIDA': 0.25, 'TURMERIC POWDER': 0.5, 'HOT WATER': 'AS REQUIRED', 'SALT': 'TO TASTE', 'JAGGERY': 'TO TASTE', 'FRESH CORIANDER': 'A HANDFUL (CHOPPED)'}",5.0,25.0
22,Bachelor’s Egg Biryani,https://www.youtube.com/watch?v=StgQNDMXHIs,"{'BASMATI RICE': 1, 'WATER': 0, 'ONION': 3, 'GREEN CHILLI': 3, 'GARLIC': 15, 'GINGER': 2, 'OIL': 3, 'TOMATO': 1, 'SALT': 0, 'CURD': 0.5, 'BIRYANI MASALA': 1, 'EGGS': 4, 'HOT WATER': 0, 'FRESH CORIANDER': 0, 'MINT': 0, 'GHEE': 1}",10.0,30.0
23,Tari Waale Chane,https://www.youtube.com/watch?v=B8CT6-D2gOM,"{'BLACK CHICKPEAS': 1, 'ONION': 3, 'GARLIC': 15, 'GINGER': 2, 'GREEN CHILLI': 3, 'TOMATO': 3, 'SALT': 0, 'BLACK SALT': 0.5, 'TURMERIC POWDER': 0.5, 'KASHMIRI RED CHILLI POWDER': 1, 'SPICY RED CHILLI POWDER': 1, 'CUMIN POWDER': 0.5, 'CORIANDER POWDER': 1, 'WATER': 0, 'GHEE': 2, 'ASAFOETIDA': 0.25, 'HOT WATER': 0, 'GARAM MASALA': 0, 'ROASTED KASURI METHI POWDER': 0, 'FRESH CORIANDER': 0}",10.0,25.0
24,Eggless Churros,https://www.youtube.com/watch?v=fc-pm4asWm0,"{'CASTER SUGAR': 0.25, 'CINNAMON POWDER': 0.5, 'WATER': 1, 'BUTTER': 30, 'SUGAR': 1, 'VAILLA ESSENCE': 0.5, 'REFINED FLOUR': 1, 'CHOCOLATE SPREAD': 0}",10.0,25.0
25,Lauki Chana Dal,https://www.youtube.com/watch?v=NnUyvIXmkgc,"{'CHANA DAL': '3/4 CUP', 'GHEE': '2 TBSP', 'CUMIN SEEDS': '1/2 TSP', 'ONION': '2 NOS.', 'GINGER GARLIC GREEN CHILLI PASTE': '1 TBSP', 'TOMATO': '2 NOS.', 'SALT': 'TO TASTE', 'TURMERIC POWDER': '1/4 TSP', 'RED CHILLI POWDER': '1 TSP', 'BOTTLE GOURD': '1 MEDIUM SIZED', 'WATER': 'AS REQUIRED', 'DRY MANGO POWDER': 'TO TASTE', 'GARAM MASALA': 'A PINCH', 'ROASTED KASURI METHI POWDER': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL'}",5.0,15.0
26,Soya Matar Pulao,https://www.youtube.com/watch?v=mkqQJl9USGM,"{'SOYA CHUNKS': 2, 'BASMATI RICE': 2, 'GHEE': 2, 'CUMIN SEEDS': 0.5, 'GREEN CARDAMOM': 3, 'BLACK CARDAMOM': 1, 'CINNAMON': 1, 'CLOVES': 5, 'BLACK PEPPERCORNS': 5, 'BAY LEAF': 2, 'ONION': 2, 'GINGER GARLIC GREEN CHILLI PASTE': 1, 'TOMATO': 1, 'CURD': 1, 'TURMERIC POWDER': 0.25, 'KASHMIRI RED CHILLI POWDER': 1, 'SPICY RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'BIRYANI MASALA': 1, 'GREEN PEAS': 1, 'FRESH CORIANDER': 0, 'MINT': 0, 'KASURI METHI': 1, 'SALT': 0}",20.0,35.0
27,Dhaba Style Gatte Ki Sabzi,https://www.youtube.com/watch?v=X-6i1Y7Pmys,"{'WATER': 'AS REQUIRED', 'CUMIN SEEDS': '1 TSP', 'FENNEL SEEDS': '1 TSP', 'CORIANDER SEEDS': '1 TSP', 'GRAM FLOUR': '1.5 CUPS', 'ASAFOETIDA': '1/4 TSP', 'KASURI METHI': '2 TSP', 'CAROM SEEDS': '1/2 TSP', 'TURMERIC POWDER': '1/4 TSP', 'RED CHILLI POWDER': '1/2 TSP', 'SALT': 'TO TASTE', 'GHEE': '1 TBSP', 'CURD': '2 TBSP', 'OIL': '0', 'GINGER': '1 INCH', 'GREEN CHILLI': '2-3 NOS.'}",15.0,30.0
28,Karela Aloo,https://www.youtube.com/watch?v=s0rGqmW2A5o,"{'BITTER GOURD': 12, 'SALT': 0, 'POTATO': 2, 'ONION': 2, 'MUSTARD OIL': 3, 'DRY MANGO POWDER': 1, 'CUMIN POWDER': 0.5, 'CORIANDER POWDER': 2, 'TURMERIC POWDER': 0.25, 'RED CHILLI POWDER': 1, 'GARAM MASALA': 0}",10.0,30.0
29,Bengali Tok Dal,https://www.youtube.com/watch?v=Fy1yZuhmSIo,"{'MASOOR DAL': 1, 'WATER': 0, 'GREEN CHILLI': 1, 'SALT': 0, 'MUSTARD OIL': 2, 'MUSTARD SEEDS': 0.5, 'RADHUNI': 0, 'KALONJI': 0, 'FENNEL SEEDS': 0, 'FENUGREEK SEEDS': 4, 'CUMIN SEEDS': 0.5, 'RED CHILLI': 1, 'RAW MANGO': 1, 'TURMERIC POWDER': 0.25, 'HOT WATER': 0, 'SUGAR': 0}",10.0,15.0
30,Soy Basil Paneer Chilli,https://www.youtube.com/watch?v=nqrpBBSDI9M,"{'PANEER': 300, 'CORN FLOUR': 5, 'OIL': 2, 'GINGER': 1, 'GARLIC': 2, 'GREEN CHILLI': 4, 'SPRING ONION WHITES': 3, 'CAPSICUM': 0.5, 'RED BELL PEPPER': 0.5, 'ONION': 0.5, 'SUGAR': 0, 'DARK SOY SAUCE': 1, 'LIGHT SOY SAUCE': 1, 'WHITE PEPPER POWDER': 0, 'VINEGAR': 0, 'SALT': 0, 'HOT WATER': 0, 'BASIL': 0, 'SPRING ONION GREENS': 0}",15.0,20.0
31,Dal Dhokli,https://www.youtube.com/watch?v=jbGCECZ3IyA,"{'TOOR DAL': 1, 'WATER': 3, 'TURMERIC POWDER': 0.25, 'PEANUTS': 2}",0.0,0.0
32,Rasmalai,https://www.youtube.com/watch?v=dq3CTGwL4cE,"{'MILK': '2 LITRE', 'ALMOND': '7-8 NOS', 'PISTACHIO': '7-8', 'CARDAMOM POWDER': '1/2 TSP', 'SAFFRON': 'A PINCH', 'SUGAR': '1.5 CUPS', 'WATER': '8 CUPS', 'VINEGAR': '2 TBSP', 'REFINED FLOUR': '1 TSP', 'ICE COLD WATER': '0'}",15.0,60.0
33,Aam ka Murabba,https://www.youtube.com/watch?v=TeJs1NOffao,"{'RAJAPURI MANGO': 1000, 'SALT': 0, 'TURMERIC POWDER': 0.5, 'SUGAR': 800, 'WATER': 0, 'LEMON JUICE': 1, 'CINNAMON STICK': 4, 'CLOVES': 4, 'GREEN CARDAMOM': 4, 'SAFFRON': 0, 'ALMOND': 7, 'CASHEW': 7}",10.0,25.0
34,Sindhi Koki,https://www.youtube.com/watch?v=RVkGaReAUCs,"{'WHEAT FLOUR': 3, 'GHEE': 3, 'SALT': 'TO TASTE', 'CAROM SEEDS': 0.5, 'ANARDANA POWDER': 2, 'GREEN CHILLI': 3, 'ONION': 1, 'CUMIN SEEDS': 1, 'BLACK PEPPER POWDER': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL', 'WATER': 0.75, 'WHEAT FLOUR (FOR DUSTING)': 0, 'GHEE (FOR COOKING)': 0}",10.0,20.0
35,Mango Pulissery,https://www.youtube.com/watch?v=FTwIHpNSrHI,"{'MANGO': 4, 'CURRY LEAVES': 2, 'GREEN CHILLI': 3, 'JAGGERY': 2, 'SALT': 0, 'RED CHILLI POWDER': 0.5, 'TURMERIC POWDER': 0.5, 'WATER': 0, 'FRESH COCONUT': 1, 'CUMIN SEEDS': 1, 'CURD': 1, 'COCONUT OIL': 2, 'MUSTARD SEEDS': 1, 'FENUGREEK SEEDS': 0.25, 'RED CHILLI': 3.5, 'ASAFOETIDA': 0.25, 'HOT WATER': 0}",15.0,15.0
36,Vrat Ka Dosa (Instant),https://www.youtube.com/watch?v=v9rYeV5XOmM,"{'SABUDANA': '¼ CUP', 'SAMA RICE': '½ CUP', 'POTATO': '1 NO.', 'GREEN CHILLI': '2-3 NOS.', 'GINGER': '2 INCH', 'CURD': '2 TBSP', 'SENDHA NAMAK': 'TO TASTE', 'WATER': '1.5 CUPS', 'CUMIN SEEDS': 'A PINCH', 'BLACK PEPPER POWDER': 'A PINCH', 'FRESH CORIANDER': 'A HANDFUL', 'GHEE': 'AS REQUIRED'}",20.0,20.0
37,Bisibele bath,https://www.youtube.com/watch?v=Gm8yj88dlFk,"{'TOOR DAL': '3/4 CUP', 'SONA MASURI': '1 CUP', 'CARROT': '2 MEDIUM SIZED', 'FRENCH BEANS': '15 NOS', 'POTATO': '2 SMALL SIZED', 'TURMERIC POWDER': '1/4 TSP', 'OIL': '1 TSP', 'GHEE': '2 TBSP', 'CASHEW': '2 TBSP', 'PEANUTS': '2 TBSP', 'MUSTARD SEEDS': '1 TSP', 'RED CHILLI': '2-3 NOS', 'CURRY LEAVES': '8-10 NOS', 'ASAFOETIDA': '1/4 TSP', 'TOMATO': '1 NO', 'GREEN PEAS': '1/3 CUP', 'SALT': 'TO TASTE', 'CAPSICUM': '1 NO', 'TAMARIND': 'LEMON SIZED BALL', 'JAGGERY': '2 TBSP', 'HOT WATER': 'AS REQUIRED', 'BISI BELE BATH POWDER': '4 TBSP', 'FRESH CORIANDER': 'A HANDFUL'}",10.0,20.0
38,Kanji Vada,https://www.youtube.com/watch?v=6TqV2VM07Qo,"{'WATER': 2, 'BLACK MUSTARD SEEDS': 2, 'BLACK SALT': 0.5, 'ASAFOETIDA': 0.25, 'BLACK PEPPERCORNS': 0.25, 'ROASTED CUMIN SEEDS': 1, 'RED CHILLI POWDER': 0.5, 'TURMERIC POWDER': 0.25, 'SALT': 0.5, 'CURD': 2, 'LIVE CHARCOAL': 0, 'MUSTARD OIL': 0, 'YELLOW MOONG DAL': 0.75, 'URAD DAL': 0.25, 'GREEN CHILLI': 2, 'GINGER': 1, 'CORIANDER SEEDS': 1, 'FENNEL SEEDS': 0.5, 'FRESH CORIANDER': 0}",20.0,25.0
39,Chicken Cheese Chutney Kabab,https://www.youtube.com/watch?v=yl-hEAZZXAE,"{'ONION': 1, 'CHICKEN': 500, 'GINGER': 2, 'GARLIC': 3, 'GREEN CHILLI': 2, 'FRESH CORIANDER': 1, 'MINT': 0.5, 'SALT': 0, 'BLACK SALT': 0, 'DRY MANGO POWDER': 1, 'CORIANDER POWDER': 2, 'SPICY RED CHILLI POWDER': 1, 'CUMIN POWDER': 0, 'GARAM MASALA': 0, 'BLACK PEPPERCORNS': 1, 'LEMON JUICE': 0.5, 'WATER': 0, 'ICE CUBE': 0, 'PANKO BREAD CRUMBS': 0, 'EGG': 2, 'CHEESE SLICES': 0}",15.0,35.0
40,Dal Baati Churma,https://www.youtube.com/watch?v=hKPoJlV_ENE,"{'TOMATOES': 2, 'ONIONS': 1, 'CHANA DAL': 1, 'MOTH DAL': 1, 'RICE': 1, 'WHEAT FLOUR': 2, 'GHEE': 100, 'SUGAR': 1}",45.0,60.0
41,Chicken Biryani,https://www.youtube.com/watch?v=3I8L_6Y8xHQ,"{'CHICKEN': '500g', 'ONIONS': '2', 'TOMATOES': '2', 'RICE': '2 cups', 'YOGURT': '1 cup', 'GINGER-GARLIC PASTE': '2 tbsp'}",30.0,45.0
42,Diljit Dosanjh cooking,https://www.youtube.com/watch?v=LG7P6iQ0twk,{},0.0,0.0
43,Creamy Mushroom with Lemon Coriander Rice,https://www.youtube.com/watch?v=uZtb-o3L3hQ,"{'BUTTER': 2, 'OIL': 1, 'OREGANO': 'A LARGE PINCH', 'RED CHILLI FLAKES': 'A LARGE PINCH', 'GARLIC': 1, 'ONION': 1, 'FRESH CORIANDER': 3, 'COOKED RICE': 4, 'LEMON ZEST': 'OF A LEMON', 'LEMON JUICE': 'OF A LEMON', 'SALT': 'TO TASTE', 'OLIVE OIL': 1, 'GREEN CHILLI': 2, 'MUSHROOM': 250, 'REFINED FLOUR': 2, 'MILK': 500, 'BLACK PEPPERCORNS': 'A PINCH'}",15.0,25.0
44,Chicken Tawa Fry,https://www.youtube.com/watch?v=13z5aZcgAeQ,"{'GARLIC': 20, 'GINGER': 2, 'GREEN CHILLI': 4, 'FRESH CORIANDER': 0, 'WATER': 0, 'CHICKEN': 500, 'SALT': 0, 'TURMERIC POWDER': 0, 'GREEN PASTE': 1, 'OIL': 2, 'ONION': 2, 'HOT WATER': 0, 'KASHMIRI RED CHILLI POWDER': 1, 'AGRI MASALA': 1.5, 'TOMATO': 1, 'KOKUM AGAL': 2, 'GHEE': 1, 'PAV': 0}",15.0,25.0
45,Dal Baati Churma,https://www.youtube.com/watch?v=k0jQele8qP8,"{'MOONG DAL': '1 cup', 'CHANA DAL': '1/2 cup', 'WHEAT FLOUR': '2 cups', 'GHEE': '1/2 cup', 'SUGAR': '1 cup', 'DATES': '1/2 cup', 'ALMONDS': '1/4 cup', 'CARDAMOM': '4-5', 'WATER': 'As needed'}",45.0,60.0
46,Misal Pav,https://www.youtube.com/watch?v=45FpTGPyfXg,{},0.0,0.0
47,Thandai Kulfi,https://www.youtube.com/watch?v=lX8I9p4VjgA,"{'ALMOND': 4, 'PISTA': 3, 'BLACK PEPPERCORNS': 1, 'FENNEL SEEDS': 1, 'GREEN CARDAMOM': 8, 'MELON SEEDS': 2, 'POPPY SEEDS': 2, 'SAFFRON': 0, 'DRY ROSE PETALS': 2, 'GINGER POWDER': 1, 'NUTMEG': 0.25, 'MILK': 2000, 'THANDAI MASALA': 6, 'SUGAR': 6}",10.0,55.0
48,Rajma Chawal,https://www.youtube.com/watch?v=0E_QhNKiIEo,"{'RAJMA': '2 cups', 'RICE': '1 cup'}",30.0,45.0
